Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-1.raw	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-2.raw	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-3.raw	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-4.raw
O35343	O35343	IMA3_MOUSE	Kpna4	Importin subunit alpha-3	15704.4	26043.4	15541.9	44165.1
O35344	O35344	IMA4_MOUSE	Kpna3	Importin subunit alpha-4	112607	130327	96420.4	110492
O35350	O35350	CAN1_MOUSE	Capn1	Calpain-1 catalytic subunit	20526.9	17771	7663.17	13167
O35379	O35379	MRP1_MOUSE	Abcc1	Multidrug resistance-associated protein 1	76627.1	32850.9	41371.4	47495
O35381	O35381	AN32A_MOUSE	Anp32a	Acidic leucine-rich nuclear phosphoprotein 32 family member A	46456.7	23207.7	37991	41048.9
O35382	O35382	EXOC4_MOUSE	Exoc4	Exocyst complex component 4	13409.5	15391.4	4896.26	7867.52
O35387	O35387	HAX1_MOUSE	Hax1	HCLS1-associated protein X-1				19923.9
O35405	O35405	PLD3_MOUSE	Pld3	5'-3' exonuclease PLD3	62672.6	66117	107863	62233.3
O35453;O35453-2;P00755;P15949;Q9QYN3;Q9QYN3-2	O35453;P00755;P15949;Q9QYN3;O35453-2;Q9QYN3-2	HEPS_MOUSE;K1KB1_MOUSE;K1KB9_MOUSE;KLK11_MOUSE	Hpn;Klk11;Klk1b1;Klk1b9	Serine protease hepsin	496483	2.01247e+06	1.33163e+06	1.26783e+06
O35465;O35465-2	O35465;O35465-2	FKBP8_MOUSE	Fkbp8	Peptidyl-prolyl cis-trans isomerase FKBP8				50245.5
O35492	O35492	CLK3_MOUSE	Clk3	Dual specificity protein kinase CLK3	20470.9	26927.3	10768.7	13520.5
O35493	O35493	CLK4_MOUSE	Clk4	Dual specificity protein kinase CLK4	65974.1	55379.9	28132.2	63614.5
O35495;O35495-3	O35495;O35495-2;O35495-3	CDK14_MOUSE	Cdk14	Cyclin-dependent kinase 14	20023.7	20143.9	14153.2	45120.1
O35516;O35516-2	O35516;O35516-2	NOTC2_MOUSE	Notch2	Neurogenic locus notch homolog protein 2		9317.14	8645.52	7521.79
O35551;O35551-2;O35551-3;O35551-5;O35551-6	O35551;O35551-2;O35551-3;O35551-5;O35551-6	RABE1_MOUSE	Rabep1	Rab GTPase-binding effector protein 1	12975.3	13522.9	13415.5	19418
O35593	O35593	PSDE_MOUSE	Psmd14	26S proteasome non-ATPase regulatory subunit 14	5669.93	2655.48	8470.55	4761.11
O35598	O35598	ADA10_MOUSE	Adam10	Disintegrin and metalloproteinase domain-containing protein 10	2537.65	3207.81	6694.75	2858.15
O35601	O35601	FYB1_MOUSE	Fyb1	FYN-binding protein 1	203651	180505	164317	203774
O35604	O35604	NPC1_MOUSE	Npc1	NPC intracellular cholesterol transporter 1	24178.3	19781.9	27334.2	22033.5
O35609	O35609	SCAM3_MOUSE	Scamp3	Secretory carrier-associated membrane protein 3	126881	180986	154146	231753
O35613	O35613	DAXX_MOUSE	Daxx	Death domain-associated protein 6	21458.4	41337.3	37682.9	21947.7
O35615	O35615	FOG1_MOUSE	Zfpm1	Zinc finger protein ZFPM1	48689.1	22982.7	14302	17866.5
O35623	O35623	BET1_MOUSE	Bet1	BET1 homolog	6675.75		2510.32	4783.41
O35625;O35625-2	O35625;O35625-2	AXIN1_MOUSE	Axin1	Axin-1	150370	345381	546470	79587.5
O35639	O35639	ANXA3_MOUSE	Anxa3	Annexin A3	33921.5	22860.6	48589.9	39429.5
O35643	O35643	AP1B1_MOUSE	Ap1b1	AP-1 complex subunit beta-1	17706.1	24145.7	33991.6	18200.3
O35658	O35658	C1QBP_MOUSE	C1qbp	Complement component 1 Q subcomponent-binding protein, mitochondrial	2118.24		8514.93	2315.61
O35671	O35671	ITBP1_MOUSE	Itgb1bp1	Integrin beta-1-binding protein 1	23772.6	21581.2	17033.5	12492
O35685	O35685	NUDC_MOUSE	Nudc	Nuclear migration protein nudC	107345	110733	65652.6	102490
O35691	O35691	PININ_MOUSE	Pnn	Pinin	654887	704190	656445	693840
O35711;O35711-2;O35711-4	O35711;O35711-2;O35711-4	LIPB2_MOUSE	Ppfibp2	Liprin-beta-2	25198.6	23830.2	16513.3	43987.8
O35737	O35737	HNRH1_MOUSE	Hnrnph1	Heterogeneous nuclear ribonucleoprotein H	387436	607312	432480	629961
O35841	O35841	API5_MOUSE	Api5	Apoptosis inhibitor 5	28468.9	38586.8	17958.6	23507.9
O35855	O35855	BCAT2_MOUSE	Bcat2	Branched-chain-amino-acid aminotransferase, mitochondrial	7076.98	6780.71	12299.1	11209.8
O35857	O35857	TIM44_MOUSE	Timm44	Mitochondrial import inner membrane translocase subunit TIM44			10316.5	
O35887	O35887	CALU_MOUSE	Calu	Calumenin	153783	141090	205810	196267
O35892	O35892;O35892-2	SP100_MOUSE	Sp100	Nuclear autoantigen Sp-100	1.55371e+06	1.35596e+06	1.58018e+06	1.57233e+06
O35943	O35943	FRDA_MOUSE	Fxn	Frataxin, mitochondrial			2292.22	
O35954	O35954	PITM1_MOUSE	Pitpnm1	Membrane-associated phosphatidylinositol transfer protein 1	97132.9	88881.9	69304.6	163903
O35955	O35955	PSB10_MOUSE	Psmb10	Proteasome subunit beta type-10	13047.9	22144.6	10302.8	270054
O35972	O35972	RM23_MOUSE	Mrpl23	39S ribosomal protein L23, mitochondrial	34783.5	46056.7	24852	46044.3
O54692	O54692	ZW10_MOUSE	Zw10	Centromere/kinetochore protein zw10 homolog	7423.13	7559.82	5917.49	20289.1
O54724	O54724	CAVN1_MOUSE	Cavin1	Caveolae-associated protein 1	513795	405203	296887	273514
O54734	O54734	OST48_MOUSE	Ddost	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	22352.4	19639.3	32254.2	24658.4
O54774	O54774	AP3D1_MOUSE	Ap3d1	AP-3 complex subunit delta-1	1.22447e+06	2.41927e+06	1.62214e+06	1.14194e+06
O54781	O54781	SRPK2_MOUSE	Srpk2	SRSF protein kinase 2	66042.7	96145.9	72269.1	72545
O54782	O54782	MA2B2_MOUSE	Man2b2	Epididymis-specific alpha-mannosidase	5553.41	6381.34	14259.3	3850.82
O54824;O54824-2	O54824;O54824-2	IL16_MOUSE	Il16	Pro-interleukin-16	51205.6	90374.3	43870	98437.4
O54825	O54825	BYST_MOUSE	Bysl	Bystin	4987.9	183482	173522	372465
O54827	O54827	AT10A_MOUSE	Atp10a	Phospholipid-transporting ATPase VA	18011.9	16785.8	19400.3	12866
O54834;O54834-3;O54834-4	O54834;O54834-3;O54834-4	RHG06_MOUSE	Arhgap6	Rho GTPase-activating protein 6	10670.7	6141.15	6089.64	23339.6
O54916;O54916-3;O54916-4	O54916;O54916-3;O54916-4	REPS1_MOUSE	Reps1	RalBP1-associated Eps domain-containing protein 1	110189	164925	168206	105157
O54918	O54918	B2L11_MOUSE	Bcl2l11	Bcl-2-like protein 11		28571.2	25577.6	58039
O54940	O54940	BNIP2_MOUSE	Bnip2	BCL2/adenovirus E1B 19 kDa protein-interacting protein 2	21507.9	12328.7	6042.61	39283.2
O54957	O54957	LAT_MOUSE	Lat	Linker for activation of T-cells family member 1	4892.42	17431.6	12796.7	4597.43
O54962	O54962	BAF_MOUSE	Banf1	Barrier-to-autointegration factor	6640.06	9967.66	19102.6	7977.77
O54984	O54984	GET3_MOUSE	Get3	ATPase GET3	3698.18		9331.77	8800.75
O54988;O54988-2	O54988;O54988-2	SLK_MOUSE	Slk	STE20-like serine/threonine-protein kinase	36283.2	40012.1	40910.5	54069.1
O55003	O55003	BNIP3_MOUSE	Bnip3	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3	80184.2	50198.7	51157.6	80310.5
O55013	O55013	TPPC3_MOUSE	Trappc3	Trafficking protein particle complex subunit 3	4799.31	2267.05	5285.06	6410.72
O55022	O55022	PGRC1_MOUSE	Pgrmc1	Membrane-associated progesterone receptor component 1	3.50774e+06	3.60792e+06	3.70355e+06	3.37074e+06
O55028	O55028	BCKD_MOUSE	Bckdk	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	524024	463275	181786	628528
O55029	O55029	COPB2_MOUSE	Copb2	Coatomer subunit beta'	52064.7	23346.5	44153.3	21916.2
O55033	O55033	NCK2_MOUSE	Nck2	Cytoplasmic protein NCK2	48286.6	39518.8	38135.7	48351.2
O55042;O55042-2;Q91ZZ3	O55042;Q91ZZ3;O55042-2	SYUA_MOUSE;SYUB_MOUSE	Snca;Sncb	Alpha-synuclein	10797.4	33407.5	16196.9	11704.6
O55091	O55091	IMPCT_MOUSE	Impact	Protein IMPACT	8028.52			76920.3
O55098	O55098	STK10_MOUSE	Stk10	Serine/threonine-protein kinase 10	61257.7	61164.5	45247.1	56693.4
O55100;O55100-2	O55100;O55100-2	SNG1_MOUSE	Syngr1	Synaptogyrin-1	55733.2	26378.1	60000.8	36069.2
O55106	O55106	STRN_MOUSE	Strn	Striatin	8655.98	14423.6	8711.47	56117.5
O55131	O55131	SEPT7_MOUSE	Septin7	Septin-7	70869.8	77334.5	77067.8	83383.1
O55142	O55142	RL35A_MOUSE	Rpl35a	60S ribosomal protein L35a	106794	99561.5	121613	98057.1
O55143	O55143;Q64518;O55143-2;Q64518-1;Q64518-3	AT2A2_MOUSE	Atp2a2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	1.57602e+06	1.58577e+06	1.87334e+06	1.54383e+06
O55176	O55176;O55176-2	PJA1_MOUSE	Pja1	E3 ubiquitin-protein ligase Praja-1	6882.86	8561.54		13731.9
O55201	O55201	SPT5H_MOUSE	Supt5h	Transcription elongation factor SPT5	23084.9	18930.2	16539.6	19926
O70133-2	O70133;O70133-2;O70133-3	DHX9_MOUSE	Dhx9	Isoform 2 of ATP-dependent RNA helicase A	21246.6	22180.2	40190.9	40956.5
O70145	O70145	NCF2_MOUSE	Ncf2	Neutrophil cytosol factor 2	49775.8	85743.3	76536.1	245114
O70146	O70146	TESK1_MOUSE	Tesk1	Dual specificity testis-specific protein kinase 1	512472	466019	450612	273300
O70161;O70161-2	O70161;O70161-2;O70161-3	PI51C_MOUSE	Pip5k1c	Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma	133475	207662	117278	109666
O70172	O70172	PI42A_MOUSE	Pip4k2a	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha	12050.8	13232.9	13992	13426.5
O70200	O70200	AIF1_MOUSE	Aif1	Allograft inflammatory factor 1	4041.02	2445.42	9499.69	
O70251	O70251	EF1B_MOUSE	Eef1b	Elongation factor 1-beta	722898	822672	506957	391026
O70252	O70252	HMOX2_MOUSE	Hmox2	Heme oxygenase 2	14201.4	9983.61	14697.3	13500
O70279	O70279	ESS2_MOUSE	Ess2	Splicing factor ESS-2 homolog	412388	323670	326177	288062
O70281	O70281	TPST1_MOUSE	Tpst1	Protein-tyrosine sulfotransferase 1	25158.4	29041.3	25571.7	11078.9
O70293-2	O70293-2	GRK6_MOUSE	Grk6	Isoform GRK6B of G protein-coupled receptor kinase 6	82536.5	78504	79408.6	100646
O70305;O70305-2;O70305-3	O70305;O70305-2;O70305-3	ATX2_MOUSE	Atxn2	Ataxin-2	15736.5	15729	13319.2	7721.75
O70309;O70309-2	O70309;O70309-2	ITB5_MOUSE	Itgb5	Integrin beta-5	83736.6	91597.5	150536	94243.9
O70310	O70310	NMT1_MOUSE	Nmt1	Glycylpeptide N-tetradecanoyltransferase 1	90356.1	77616	65958.9	50132.1
O70311	O70311	NMT2_MOUSE	Nmt2	Glycylpeptide N-tetradecanoyltransferase 2	31472.6	29964.1	22713.7	13432.8
O70318	O70318	E41L2_MOUSE	Epb41l2	Band 4.1-like protein 2	833634	848795	650664	715670
O70370	O70370	CATS_MOUSE	Ctss	Cathepsin S	99740.1	61351	150033	117405
O70378	O70378	EMC8_MOUSE	Emc8	ER membrane protein complex subunit 8	6145.53	5452.17	11397.6	6026.84
O70400	O70400	PDLI1_MOUSE	Pdlim1	PDZ and LIM domain protein 1		5771.39	8307.21	
O70404	O70404	VAMP8_MOUSE	Vamp8	Vesicle-associated membrane protein 8	68851.6	28337.9	40772.3	66191.6
O70405	O70405	ULK1_MOUSE	Ulk1	Serine/threonine-protein kinase ULK1	4546.86	10436.5	9689.44	18200.7
O70435	O70435	PSA3_MOUSE	Psma3	Proteasome subunit alpha type-3	14905.3	9831.56	27453	19321.7
O70439	O70439	STX7_MOUSE	Stx7	Syntaxin-7	1.09208e+06	757683	700157	665204
O70456	O70456	1433S_MOUSE	Sfn	14-3-3 protein sigma		147646	51561.6	
O70469	O70469	DOK2_MOUSE	Dok2	Docking protein 2	103813	32923.6	74617	109415
O70475	O70475	UGDH_MOUSE	Ugdh	UDP-glucose 6-dehydrogenase	8565.32	12222.8	10688	18270.6
O70480	O70480	VAMP4_MOUSE	Vamp4	Vesicle-associated membrane protein 4	553647	322879	462818	375758
O70492	O70492	SNX3_MOUSE	Snx3	Sorting nexin-3	20264.1	12922.7	35462.1	23736.5
O70493	O70493	SNX12_MOUSE	Snx12	Sorting nexin-12	7148.24	6361.34	3289.69	6807.38
O70503	O70503	DHB12_MOUSE	Hsd17b12	Very-long-chain 3-oxoacyl-CoA reductase	42570.4	53392.4	40989.4	51465.5
O70551	O70551	SRPK1_MOUSE	Srpk1	SRSF protein kinase 1	86851.9	104045	67746.2	59011.7
O70589-3	O70589-3	CSKP_MOUSE	Cask	Isoform 3 of Peripheral plasma membrane protein CASK	46124	47254.4	26126.3	43875.1
O88342	O88342	WDR1_MOUSE	Wdr1	WD repeat-containing protein 1	30590.8	26287.4	48391.2	39413.3
O88379	O88379	BAZ1A_MOUSE	Baz1a	Bromodomain adjacent to zinc finger domain protein 1A	153623	149558	171926	81461.2
O88384	O88384	VTI1B_MOUSE	Vti1b	Vesicle transport through interaction with t-SNAREs homolog 1B	28148.7	11200.4	23689.2	19545.1
O88447	O88447	KLC1_MOUSE	Klc1	Kinesin light chain 1	4193.84	6437.11	2434.95	13120.3
O88456	O88456	CPNS1_MOUSE	Capns1	Calpain small subunit 1	11574.1	10196.5	23440.1	11248.9
O88466	O88466;O88466-2;O88466-3	ZN106_MOUSE	Znf106	Zinc finger protein 106	79427.2	105177	68263.6	88492.6
O88487	O88487	DC1I2_MOUSE	Dync1i2	Cytoplasmic dynein 1 intermediate chain 2	25073.5	14168.8	19524.2	18738.1
O88491	O88491	NSD1_MOUSE	Nsd1	Histone-lysine N-methyltransferase, H3 lysine-36 specific	52416.8	58994	47253.1	39275.2
O88502	O88502	PDE8A_MOUSE	Pde8a	High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A	101849	227140	136828	111451
O88508	O88508	DNM3A_MOUSE	Dnmt3a	DNA (cytosine-5)-methyltransferase 3A	1.46926e+06	1.29654e+06	1.35037e+06	1.36885e+06
O88522	O88522	NEMO_MOUSE	Ikbkg	NF-kappa-B essential modulator	72482.6	60777.2	59522	84641.2
O88531	O88531	PPT1_MOUSE	Ppt1	Palmitoyl-protein thioesterase 1	31061.9	22514.7	28945.8	18421.3
O88532	O88532	ZFR_MOUSE	Zfr	Zinc finger RNA-binding protein	38446.2	98362.4	83267.1	53358.7
O88569	O88569;O88569-2;O88569-3	ROA2_MOUSE	Hnrnpa2b1	Heterogeneous nuclear ribonucleoproteins A2/B1	139343	144579	236132	201598
O88573	O88573	AFF1_MOUSE	Aff1	AF4/FMR2 family member 1	50493	46440.2	39577.3	64105.7
O88587;O88587-2	O88587;O88587-2	COMT_MOUSE	Comt	Catechol O-methyltransferase	363730	374114	247341	312387
O88622;O88622-2	O88622;O88622-2	PARG_MOUSE	Parg	Poly(ADP-ribose) glycohydrolase	76737.7	131086	68688.3	127341
O88627	E9PXX9;O88627	S28A2_MOUSE	Slc28a2	Sodium/nucleoside cotransporter 2	17361.2	28867.4	31402.5	16125.3
O88643	O88643	PAK1_MOUSE	Pak1	Serine/threonine-protein kinase PAK 1	20461.5	15358	10154.5	18778.9
O88665	O88665	BRD7_MOUSE	Brd7	Bromodomain-containing protein 7	21209	21073.2	21493	13494.1
O88668	O88668	CREG1_MOUSE	Creg1	Protein CREG1	7836.41	21914.1	12221.9	27396
O88685	O88685	PRS6A_MOUSE	Psmc3	26S proteasome regulatory subunit 6A			11388.3	
O88696	O88696	CLPP_MOUSE	Clpp	ATP-dependent Clp protease proteolytic subunit, mitochondrial	7890.53	5850.81	8297.3	10406
O88738;O88738-2;O88738-3	O88738;O88738-2;O88738-3	BIRC6_MOUSE	Birc6	Baculoviral IAP repeat-containing protein 6	160728	186432	138840	246332
O88746	O88746	TOM1_MOUSE	Tom1	Target of Myb1 membrane trafficking protein	83512	133776	118033	632650
O88842	O88842	FGD3_MOUSE	Fgd3	FYVE, RhoGEF and PH domain-containing protein 3	53794.9	32121.9	27704.3	85279.8
O88844	O88844	IDHC_MOUSE	Idh1	Isocitrate dehydrogenase [NADP] cytoplasmic	20236.3	18642.1	26444.4	23964.4
O88845;O88845-3	O88845;O88845-2;O88845-3	AKA10_MOUSE	Akap10	A-kinase anchor protein 10, mitochondrial	18700	41463.9	26629.1	84315.6
O88855	O88855	LT4R1_MOUSE	Ltb4r	Leukotriene B4 receptor 1	9132.94		6347.05	3308.44
O88856	O88856	TPST2_MOUSE	Tpst2	Protein-tyrosine sulfotransferase 2	22985.3	24954.6	18844.8	20639.1
O88874	O88874	CCNK_MOUSE	Ccnk	Cyclin-K	403706	533889	468889	271422
O88904;O88904-2;O88904-3;Q9QZR5;Q9QZR5-2;Q9QZR5-3;Q9QZR5-4	O88904;Q9QZR5;Q9QZR5-2;O88904-2;O88904-3;Q9QZR5-3;Q9QZR5-4	HIPK1_MOUSE;HIPK2_MOUSE	Hipk1;Hipk2	Homeodomain-interacting protein kinase 1	47055.1	83409.4	36245.5	89452.2
O88935;O88935-1;O88935-3	O88935;O88935-1;O88935-3	SYN1_MOUSE	Syn1	Synapsin-1	3340.76			3380.63
O88939	O88939;O88939-2	ZBT7A_MOUSE	Zbtb7a	Zinc finger and BTB domain-containing protein 7A	34131.2	42753.1	39493.8	41464.3
O89001	O89001	CBPD_MOUSE	Cpd	Carboxypeptidase D	60049	33453	27118.4	26614.2
O89017	O89017	LGMN_MOUSE	Lgmn	Legumain	42412.1	28509.8	51284	37638.6
O89023	O89023	TPP1_MOUSE	Tpp1	Tripeptidyl-peptidase 1	14641.2	14087.8	35150.7	33392.9
O89032;O89032-2;O89032-3	O89032;O89032-2;O89032-3	SPD2A_MOUSE	Sh3pxd2a	SH3 and PX domain-containing protein 2A	32955.8	29126.1	24772.3	26928.2
O89053	O89053	COR1A_MOUSE	Coro1a	Coronin-1A	319587	237327	401486	435327
O89079	O89079	COPE_MOUSE	Cope	Coatomer subunit epsilon	10882.1	12304.9		6209.33
O89086	O89086	RBM3_MOUSE	Rbm3	RNA-binding protein 3	21447.6	12384.2	13394.8	32329.5
O89091	O89091	KLF10_MOUSE	Klf10	Krueppel-like factor 10	31321.4	21117	25303	84310.1
O89103	O89103	C1QR1_MOUSE	Cd93	Complement component C1q receptor	143825	109506	113754	140636
O89113	O89113	IER5_MOUSE	Ier5	Immediate early response gene 5 protein				21475.3
O89116	O89116	VTI1A_MOUSE	Vti1a	Vesicle transport through interaction with t-SNAREs homolog 1A	13682.9	6967.75	12034	12296.2
P00405	P00405	COX2_MOUSE	Mtco2	Cytochrome c oxidase subunit 2	117140			126086
P00493	P00493	HPRT_MOUSE	Hprt1	Hypoxanthine-guanine phosphoribosyltransferase		5472.15	16721.2	11660.8
P00520;P00520-2;P00520-3;P00520-4	P00520;P00520-4;P00520-2;P00520-3	ABL1_MOUSE	Abl1	Tyrosine-protein kinase ABL1	11918.2	7455.44	7697.79	6394.01
P00920	P00920	CAH2_MOUSE	Ca2	Carbonic anhydrase 2		24249.5	18964.5	7769.24
P01027	P01027	CO3_MOUSE	C3	Complement C3	108458	79330.4	110150	158402
P01029	P01029	CO4B_MOUSE	C4b	Complement C4-B	25354.8	12102.1	16546.7	22895.1
P01831	P01831	THY1_MOUSE	Thy1	Thy-1 membrane glycoprotein	27086.4	34342.8	11045.3	
P01837	P01837	IGKC_MOUSE	Igkc	Immunoglobulin kappa constant	12558	30935.5	16396.9	15810.4
P01887	P01887	B2MG_MOUSE	B2m	Beta-2-microglobulin	21497.9	39100.9	69710.3	25817.6
P01899	P01897;P01899	HA11_MOUSE	H2-D1	H-2 class I histocompatibility antigen, D-B alpha chain	54525.3	49042.4	93585.7	63419.5
P01901	P01901	HA1B_MOUSE	H2-K1	H-2 class I histocompatibility antigen, K-B alpha chain	8906.23	10505	6767.2	24849.8
P01942	P01942;P06467	HBA_MOUSE	Hba	Hemoglobin subunit alpha	639908	615109	380513	247792
P02088	P02088	HBB1_MOUSE	Hbb-b1	Hemoglobin subunit beta-1	340068	276343	204248	97705
P02468	P02468	LAMC1_MOUSE	Lamc1	Laminin subunit gamma-1	4042.3	6274.02	11295.2	10657.9
P03930	P03930	ATP8_MOUSE	Mtatp8	ATP synthase protein 8	11976.7	6473.93	7416.49	9486.39
P04117	P04117	FABP4_MOUSE	Fabp4	Fatty acid-binding protein, adipocyte	25521.6	17760.8	38324	33591.4
P04223-2	P04223-2	HA1K_MOUSE	H2-K1	Isoform 2 of H-2 class I histocompatibility antigen, K-K alpha chain	636807	875453	671605	558536
P04370;P04370-10;P04370-11;P04370-13;P04370-14;P04370-4;P04370-5;P04370-6;P04370-7;P04370-8;P04370-9	P04370;P04370-10;P04370-11;P04370-13;P04370-14;P04370-2;P04370-4;P04370-5;P04370-6;P04370-7;P04370-8;P04370-9	MBP_MOUSE	Mbp	Myelin basic protein	32385.8	25967.1	9234.39	5232.69
P04918	P04918	SAA3_MOUSE	Saa3	Serum amyloid A-3 protein		10372.2	4289.44	12663.9
P05064	P05063;P05064;Q91Y97	ALDOA_MOUSE	Aldoa	Fructose-bisphosphate aldolase A	188550	158303	244013	233866
P05202	P05202	AATM_MOUSE	Got2	Aspartate aminotransferase, mitochondrial	25803	24582.3	47501.1	44722.9
P05366	P05366;P05367	SAA1_MOUSE	Saa1	Serum amyloid A-1 protein	12718.9	21848.1	23300.3	10734.8
P05480;P05480-1	P05480;P05480-1	SRC_MOUSE	Src	Proto-oncogene tyrosine-protein kinase Src	28512.7	55577.3	36569.8	22016.8
P05555	P05555;P05555-2	ITAM_MOUSE	Itgam	Integrin alpha-M	90823.6	77968.6	116186	130483
P05627	P05627	JUN_MOUSE	Jun	Transcription factor Jun	117194	339853	195813	835323
P06151	P06151	LDHA_MOUSE	Ldha	L-lactate dehydrogenase A chain	99288.8	75486.6	156741	147414
P06537;P06537-2;P06537-3;P06537-4;P06537-5	P06537;P06537-5;P06537-2;P06537-3;P06537-4	GCR_MOUSE	Nr3c1	Glucocorticoid receptor	13864	19537.8	12311.7	99708.3
P06745	P06745	G6PI_MOUSE	Gpi	Glucose-6-phosphate isomerase	21463.3	28821.4	30123.7	23378.7
P06797	P06797	CATL1_MOUSE	Ctsl	Procathepsin L	164842	160031	313145	248915
P06800;P06800-5;P06800-6	P06800;P06800-5;P06800-6	PTPRC_MOUSE	Ptprc	Receptor-type tyrosine-protein phosphatase C	6.50415e+06	5.5359e+06	6.76986e+06	5.57956e+06
P06804	P06804	TNFA_MOUSE	Tnf	Tumor necrosis factor		20487.7	10332.8	
P07091	P07091	S10A4_MOUSE	S100a4	Protein S100-A4	72195.7	72809.5	68825.1	115183
P07356	P07356	ANXA2_MOUSE	Anxa2	Annexin A2	308965	195605	269723	258669
P07724	P07724	ALBU_MOUSE	Alb	Albumin	591936	1.08592e+06	781479	420957
P07759	P07759	SPA3K_MOUSE	Serpina3k	Serine protease inhibitor A3K	42246.4	33977.5	30761.5	6053.37
P07901	P07901	HS90A_MOUSE	Hsp90aa1	Heat shock protein HSP 90-alpha	6.05708e+06	4.91119e+06	7.2846e+06	5.27984e+06
P08003	P08003	PDIA4_MOUSE	Pdia4	Protein disulfide-isomerase A4	68699.3	64648.3	98161.6	102046
P08030	P08030	APT_MOUSE	Aprt	Adenine phosphoribosyltransferase	19542.1	13941.9	25761.8	27829.7
P08071	P08071	TRFL_MOUSE	Ltf	Lactotransferrin		9291.1	8631.93	10225.7
P08074	P08074	CBR2_MOUSE	Cbr2	Carbonyl reductase [NADPH] 2	42062.3	39280.3	43597.9	28285
P08103;P08103-2	P08103;P08103-2	HCK_MOUSE	Hck	Tyrosine-protein kinase HCK	34865.4	36360.8	28585.4	52704.4
P08113	P08113	ENPL_MOUSE	Hsp90b1	Endoplasmin	183217	194216	269099	241429
P08207	P08207	S10AA_MOUSE	S100a10	Protein S100-A10	123485	71056.6	131144	150319
P08226	P08226	APOE_MOUSE	Apoe	Apolipoprotein E	58976.6	137159	74191.6	80404.5
P08228	P08228	SODC_MOUSE	Sod1	Superoxide dismutase [Cu-Zn]	65479.3	46209.6	71726	59611.6
P08249	P08249	MDHM_MOUSE	Mdh2	Malate dehydrogenase, mitochondrial	83163.2	86356.1	155168	150596
P08556;P32883;P32883-2	P08556;P32883;Q61411;P32883-2;Q61411-2	RASK_MOUSE;RASN_MOUSE	Kras;Nras	GTPase NRas	7160.34	11639.4	10975.5	9818.59
P08752	P08752	GNAI2_MOUSE	Gnai2	Guanine nucleotide-binding protein G(i) subunit alpha-2	159780	132872	199203	168753
P08775	P08775	RPB1_MOUSE	Polr2a	DNA-directed RNA polymerase II subunit RPB1	703484	747751	558014	468791
P08905	P08905;P17897	LYZ2_MOUSE	Lyz2	Lysozyme C-2	188844	235636	278266	203218
P09055;P09055-2	P09055;P09055-2	ITB1_MOUSE	Itgb1	Integrin beta-1	32688.1	44726.6	32093.4	25892.8
P09103	P09103	PDIA1_MOUSE	P4hb	Protein disulfide-isomerase	125011	117677	209878	214145
P09405	P09405	NUCL_MOUSE	Ncl	Nucleolin	40934.5	37215.7	71189.1	45171.4
P09411	P09411	PGK1_MOUSE	Pgk1	Phosphoglycerate kinase 1	239542	221403	371177	339172
P09450	P09450	JUNB_MOUSE	Junb	Transcription factor JunB		11589.5	5289.88	646.07
P09528	P09528	FRIH_MOUSE	Fth1	Ferritin heavy chain	16068.8	18576.6	24904.6	16228.4
P09671	P09671	SODM_MOUSE	Sod2	Superoxide dismutase [Mn], mitochondrial	7369.43	10219.1	17249.9	8734.7
P0C0S6;Q3THW5	C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;P0C0S6;P27661;Q64523;Q6GSS7;Q8BFU2;Q8CGP5;Q8CGP6;Q8CGP7;Q3THW5;Q8R1M2	H2AV_MOUSE;H2AZ_MOUSE	H2az1;H2az2	Histone H2A.Z	2.54912e+06	2.45023e+06	3.10873e+06	3.42551e+06
P0CG49;P0CG50;P62983;P62984	P0CG49;P62983;P62984;P0CG50	RL40_MOUSE;RS27A_MOUSE;UBB_MOUSE;UBC_MOUSE	Rps27a;Uba52;Ubb;Ubc	Polyubiquitin-B	101821	154481	197029	185889
P0DJE0	P0DJE0	PT100_MOUSE	Pet100	Protein PET100 homolog, mitochondrial	22130.2	24883.5	15681.1	12373.2
P0DOV2	P0DOV1;P0DOV2	IFI4_MOUSE	Ifi204	Interferon-activable protein 204	5153.41	6728.74	11566.5	15826.7
