Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-1.raw	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-2.raw	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-3.raw	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-4.raw
Q9DAS9	Q9DAS9	GBG12_MOUSE	Gng12	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12	958154	702795	814451	654948
Q9DAZ9	Q9DAZ9	ANCHR_MOUSE	Zfyve19	Abscission/NoCut checkpoint regulator	29419.9	29137.3	16294.3	32594.1
Q9DB00	Q9DB00	GON4L_MOUSE	Gon4l	GON-4-like protein	90396.1	87002.5	85328.9	33876.6
Q9DB05	Q9DB05	SNAA_MOUSE	Napa	Alpha-soluble NSF attachment protein	7004.69	8764.17	17565.8	12772.8
Q9DB15	Q9DB15	RM12_MOUSE	Mrpl12	39S ribosomal protein L12, mitochondrial	7239.63	7070.38	10250.4	13398.5
Q9DB20	Q9DB20	ATPO_MOUSE	Atp5po	ATP synthase subunit O, mitochondrial	22591.2	15314.2	30859.5	27539.9
Q9DB52	Q9DB52	PBIR1_MOUSE	Pabir1	P2R1A-PPP2R2A-interacting phosphatase regulator 1	75057.9	77728.1	58675.1	83204
Q9DB60	Q9DB60	PXL2B_MOUSE	Prxl2b	Prostamide/prostaglandin F synthase				11806.2
Q9DB70	Q9DB70	FUND1_MOUSE	Fundc1	FUN14 domain-containing protein 1	123190	66942.5	92201.1	147989
Q9DB73	Q9DB73	NB5R1_MOUSE	Cyb5r1	NADH-cytochrome b5 reductase 1	6408.02	11326.2	6035.48	
Q9DB77	Q9DB77	QCR2_MOUSE	Uqcrc2	Cytochrome b-c1 complex subunit 2, mitochondrial	19924.9	20936	27806.9	21771.1
Q9DB85	Q9DB85	RRP8_MOUSE	Rrp8	Ribosomal RNA-processing protein 8	59427.9	41241.1	45384.3	90799.7
Q9DB90;Q9DB90-2	Q9DB90;Q9DB90-2	SMG9_MOUSE	Smg9	Nonsense-mediated mRNA decay factor SMG9	11446.2	6598.69	11120.2	3706.04
Q9DB96	Q9DB96	NGDN_MOUSE	Ngdn	Neuroguidin	41571.4	13444.6	50144.7	11775.6
Q9DBC3	Q9DBC3	CMTR1_MOUSE	Cmtr1	Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1	74145.9	88509.2	66804.9	103782
